Closed Date;Activated Date
10/2/2023 3:04:48 PM;10/2/2023 9:08:49 AM
10/4/2023 9:02:54 AM;10/2/2023 1:01:26 PM
10/4/2023 9:24:54 AM;10/3/2023 11:32:15 AM
10/5/2023 8:22:32 AM;10/2/2023 11:06:17 AM
10/5/2023 9:03:05 AM;10/3/2023 4:53:49 PM
10/6/2023 8:48:01 AM;10/5/2023 4:23:38 PM
10/9/2023 6:55:44 AM;10/5/2023 8:45:57 AM
10/9/2023 12:38:44 PM;10/4/2023 10:42:49 AM
10/11/2023 4:57:45 PM;10/6/2023 8:45:36 AM
10/12/2023 10:04:32 AM;10/9/2023 10:45:27 AM
10/12/2023 11:52:14 AM;10/6/2023 3:03:28 PM
10/16/2023 9:13:26 AM;10/9/2023 12:26:39 PM
10/16/2023 9:13:33 AM;10/9/2023 3:03:19 PM
10/17/2023 2:04:24 PM;10/12/2023 1:59:24 PM
10/18/2023 9:07:13 AM;10/16/2023 11:41:28 AM
10/18/2023 12:41:03 PM;10/17/2023 1:50:24 PM
10/19/2023 9:47:47 AM;10/13/2023 9:07:13 AM
10/19/2023 4:25:16 PM;10/18/2023 11:12:52 AM
10/20/2023 12:18:00 PM;10/12/2023 8:59:54 AM
10/23/2023 9:02:23 AM;10/17/2023 2:45:28 PM
10/23/2023 3:32:43 PM;10/20/2023 12:18:15 PM
10/24/2023 7:30:53 AM;10/19/2023 4:20:44 PM
10/25/2023 11:38:31 AM;10/24/2023 10:33:37 AM
10/25/2023 2:03:27 PM;10/23/2023 3:08:43 PM
10/25/2023 2:42:14 PM;10/23/2023 2:44:38 PM
10/26/2023 1:00:28 PM;10/24/2023 11:13:21 AM
10/26/2023 3:40:15 PM;10/24/2023 10:56:24 AM
10/27/2023 12:36:23 PM;10/24/2023 2:00:11 PM
10/27/2023 12:40:25 PM;10/25/2023 5:51:27 PM
10/27/2023 4:57:31 PM;10/20/2023 11:32:53 AM
10/30/2023 6:36:55 AM;10/18/2023 8:01:57 AM
10/30/2023 10:27:26 AM;10/25/2023 2:07:36 PM
10/30/2023 1:11:17 PM;10/24/2023 10:13:14 AM
11/1/2023 10:22:14 AM;10/26/2023 2:39:02 PM
11/1/2023 1:56:32 PM;10/30/2023 10:08:01 AM
11/2/2023 8:51:35 AM;10/31/2023 2:20:59 PM
11/2/2023 12:48:41 PM;10/27/2023 11:03:06 AM
11/6/2023 9:05:47 AM;10/25/2023 2:34:58 PM
11/6/2023 10:33:18 AM;11/1/2023 11:10:06 AM
11/7/2023 1:24:28 AM;11/1/2023 4:17:17 PM
11/7/2023 11:42:39 AM;10/31/2023 2:51:48 PM
11/8/2023 7:57:25 AM;10/31/2023 1:08:51 PM
11/8/2023 8:59:35 AM;11/2/2023 4:40:17 PM
11/8/2023 8:59:58 AM;11/2/2023 9:49:55 AM
11/10/2023 11:52:01 AM;10/26/2023 4:56:08 PM
11/10/2023 1:34:39 PM;11/8/2023 4:48:20 AM
11/10/2023 2:08:49 PM;11/7/2023 1:36:26 PM
11/10/2023 4:10:32 PM;11/7/2023 3:23:43 PM
11/13/2023 4:03:07 PM;11/8/2023 9:17:10 AM
11/13/2023 5:23:41 PM;11/8/2023 12:38:46 AM
11/16/2023 12:19:23 PM;11/13/2023 1:26:19 PM
11/17/2023 2:40:49 PM;11/9/2023 1:47:00 AM
11/20/2023 2:18:34 PM;11/15/2023 9:30:27 AM
11/21/2023 11:22:44 AM;11/17/2023 12:22:33 PM
11/21/2023 2:55:05 PM;11/7/2023 11:05:23 AM
11/21/2023 10:26:40 PM;11/14/2023 11:55:48 AM
11/23/2023 9:18:50 AM;11/21/2023 11:37:21 AM
11/23/2023 9:18:56 AM;11/22/2023 11:01:26 AM
11/23/2023 10:57:48 AM;11/20/2023 12:28:45 PM
11/24/2023 11:59:48 AM;11/21/2023 11:42:06 AM
11/28/2023 10:09:46 AM;11/6/2023 2:34:56 PM
11/29/2023 4:08:10 PM;11/24/2023 1:45:46 PM
11/29/2023 4:08:20 PM;11/24/2023 1:49:44 PM
11/30/2023 11:40:55 AM;11/24/2023 12:12:57 PM
11/30/2023 12:11:20 PM;11/23/2023 10:34:08 AM
12/1/2023 6:24:42 PM;11/28/2023 2:05:31 PM
12/1/2023 8:32:42 PM;11/28/2023 2:04:49 PM
12/4/2023 10:06:52 AM;11/30/2023 6:29:36 PM
12/4/2023 10:07:00 AM;12/1/2023 1:48:57 PM
12/4/2023 10:07:03 AM;12/1/2023 1:48:59 PM
12/4/2023 10:07:08 AM;12/1/2023 1:49:03 PM
12/4/2023 10:10:47 AM;12/1/2023 2:43:53 PM
12/5/2023 9:04:39 AM;11/23/2023 12:09:03 PM
12/6/2023 8:29:28 AM;11/30/2023 7:51:55 AM
12/6/2023 9:03:06 AM;11/30/2023 5:35:21 PM
12/6/2023 4:34:18 PM;12/4/2023 12:08:31 PM
12/7/2023 9:00:46 AM;12/4/2023 6:06:34 PM
12/7/2023 1:21:03 PM;12/6/2023 9:24:35 AM
12/8/2023 1:40:39 PM;12/7/2023 11:54:49 AM
12/8/2023 5:20:09 PM;12/7/2023 9:04:06 AM
12/8/2023 5:22:22 PM;12/5/2023 1:47:51 AM
12/8/2023 5:25:09 PM;11/30/2023 4:38:59 PM
12/11/2023 2:08:56 AM;12/7/2023 7:03:39 AM
12/12/2023 2:47:38 PM;12/8/2023 1:42:02 PM
12/13/2023 8:18:50 AM;11/30/2023 10:16:05 AM
12/13/2023 4:39:04 PM;12/11/2023 9:04:36 AM
12/14/2023 10:12:07 AM;12/8/2023 10:08:51 AM
12/14/2023 12:55:16 PM;12/13/2023 11:18:35 AM
12/14/2023 2:51:46 PM;12/13/2023 9:49:58 AM
12/14/2023 5:01:02 PM;12/12/2023 2:50:45 PM
12/18/2023 1:08:39 PM;12/5/2023 12:47:54 PM
12/20/2023 4:52:43 PM;12/18/2023 1:06:00 PM
12/21/2023 11:46:45 AM;12/14/2023 9:15:40 AM
12/21/2023 11:52:01 AM;12/19/2023 1:22:06 PM
12/28/2023 1:33:41 PM;12/26/2023 4:39:42 PM
12/29/2023 9:32:02 AM;12/15/2023 1:54:24 PM
12/29/2023 5:53:37 PM;12/27/2023 12:46:04 PM
;12/28/2023 11:12:44 AM
;12/29/2023 9:10:29 AM
;12/29/2023 10:50:01 AM
;1/2/2024 11:21:22 AM
;1/2/2024 11:32:38 AM
;1/2/2024 2:20:45 PM
;12/13/2023 4:34:35 PM
;12/4/2023 9:59:38 AM
;10/17/2023 1:36:26 PM
